strain,stress
0,0
-1.23E-04,-0.5287
-4.37E-04,-1.795
-6.66E-04,-2.604
-8.73E-04,-3.245
-1.07E-03,-3.786
-1.27E-03,-4.249
-1.46E-03,-4.629
-1.63E-03,-4.924
-1.80E-03,-5.167
-1.95E-03,-5.37
-2.11E-03,-5.542
-2.51E-03,-5.89
-2.92E-03,-6.114
-3.32E-03,-6.249
-3.74E-03,-6.322
-4.21E-03,-6.346
-4.72E-03,-6.324
-5.20E-03,-6.272
-5.69E-03,-6.202
-6.18E-03,-6.117
-6.68E-03,-6.024
-7.18E-03,-5.924
-7.69E-03,-5.822
-8.21E-03,-5.718
-8.74E-03,-5.614
-9.27E-03,-5.511
-9.80E-03,-5.41
-1.03E-02,-5.312
-1.09E-02,-5.218
-1.14E-02,-5.126
-1.20E-02,-5.036
,
