strain,stress
-1.15E-04,-3.343
-4.11E-04,-11.92
-6.20E-04,-17.99
-8.08E-04,-23.43
-9.90E-04,-28.7
-1.17E-03,-33.94
-1.34E-03,-38.78
-1.49E-03,-43.12
-1.63E-03,-47.18
-1.76E-03,-51.08
-1.89E-03,-54.85
-2.24E-03,-64.89
-2.57E-03,-68
-2.90E-03,-68
-3.26E-03,-68
-3.65E-03,-68
-4.07E-03,-68
-4.46E-03,-68
-4.84E-03,-68
-5.22E-03,-68
-5.61E-03,-68
-6.01E-03,-68
-6.41E-03,-68
-6.81E-03,-68
-7.21E-03,-68
-7.61E-03,-68
-8.01E-03,-68
-8.42E-03,-68
-8.83E-03,-68
-9.23E-03,-68
-9.64E-03,-68
-9.64E-03,-68
